date,solar_radiation_wm2,precipitation_mm,wind_direction_degrees,wind_speed_ms,gust_speed_ms,air_temperature_c,vapor_pressure_kpa,atm_pressure_kpa,vpd_kpa
4/23/23 13:00,53.3,0,341.2,0.71,2.16,7.5,2.145,98.13,0.52
4/23/23 14:00,65.8,0,60.6,0.53,2.18,6.8,2.075,98.16,0.48
4/23/23 15:00,61.9,0,79.1,0.44,1.47,6.6,2.039,98.2,0.48
4/23/23 16:00,89.4,0,7.4,0.61,1.7,7,2.001,98.21,0.51
4/23/23 17:00,84.7,0,344.7,1.19,2.22,7.7,1.943,98.19,0.57
4/23/23 18:00,60.4,0,328,1.05,2.07,7.9,1.879,98.23,0.57
4/23/23 19:00,31.5,0,351.6,0.62,1.8,7.5,1.808,98.26,0.53
4/23/23 20:00,7.9,0,128.1,0.48,1.15,7,1.732,98.28,0.51
4/23/23 21:00,0,0,169.2,0.31,0.62,6.3,1.665,98.3,0.43
4/23/23 22:00,0,0,348.6,0.26,0.88,5.5,1.593,98.34,0.34
4/23/23 23:00,0,0,7.4,0.56,0.88,4.9,1.538,98.37,0.27
4/24/23 00:00,0,0,35.7,0.46,0.8,4.9,1.539,98.37,0.26
4/24/23 01:00,0,0,38.3,0.46,0.71,4.8,1.683,98.34,0.27
4/24/23 02:00,0,0,77.5,0.28,0.6,4.2,1.911,98.29,0.22
4/24/23 03:00,0,0,0.2,0.25,0.57,3.3,2.008,98.27,0.17
4/24/23 04:00,0,0,39.8,0.32,0.79,2.4,1.798,98.26,0.13
4/24/23 05:00,0,0,332.2,0.54,0.92,2.2,1.693,98.27,0.11
4/24/23 06:00,0,0,28.8,0.6,0.98,2.2,1.616,98.27,0.1
4/24/23 07:00,1.7,0,20.5,0.45,0.84,2.2,1.653,98.29,0.09
4/24/23 08:00,42.9,0,8.5,0.39,0.86,2.7,1.722,98.33,0.08
4/24/23 09:00,94.8,0,0.4,0.73,1.95,5.2,1.606,98.35,0.2
4/24/23 10:00,146.2,0,2,0.66,2.06,6.3,1.721,98.37,0.29
4/24/23 11:00,139.2,0,56.5,0.69,2.63,6.2,1.74,98.4,0.33
4/24/23 12:00,85.1,0.17,10.2,0.66,2.22,5.4,1.816,98.46,0.27
4/24/23 13:00,159.6,0.255,18.5,0.81,2.73,5.4,1.798,98.44,0.21
4/24/23 14:00,105.1,0.017,21.3,0.56,2.19,7.5,1.686,98.44,0.44
4/24/23 15:00,133.5,0,341.1,0.75,2.52,6.4,1.62,98.47,0.34
4/24/23 16:00,181.4,0,357.5,0.88,2.73,7.6,1.575,98.44,0.45
4/24/23 17:00,70.7,0,338,0.86,2.27,7.8,1.537,98.46,0.46
4/24/23 18:00,45.2,0,29.3,0.66,1.51,5.8,1.5,98.51,0.26
4/24/23 19:00,24.9,0,284.4,0.46,1.97,6.3,1.465,98.54,0.34
4/24/23 20:00,8,0,26.4,0.45,1.94,5.2,1.427,98.57,0.26
4/24/23 21:00,0,0,127.4,0.37,0.94,4.1,1.401,98.6,0.19
4/24/23 22:00,0,0,79.2,0.41,0.77,2.9,1.389,98.61,0.12
4/24/23 23:00,0,0,16.9,0.47,0.92,2.4,1.392,98.61,0.09
4/25/23 00:00,0,0,21.1,0.36,1.13,1.9,1.457,98.58,0.07
4/25/23 01:00,0,0,359.9,0.39,1.03,1.8,1.564,98.58,0.06
4/25/23 02:00,0,0,117.7,0.31,0.67,1,1.746,98.57,0.05
4/25/23 03:00,0,0,289.8,0.4,1.15,0.1,1.88,98.55,0.04
4/25/23 04:00,0,0,345.5,0.74,1.09,-0.6,1.918,98.57,0.03
4/25/23 05:00,0,0,5.4,0.75,1.14,-0.9,1.926,98.58,0.03
4/25/23 06:00,0,0,39.1,0.51,1.04,-1.1,1.888,98.6,0.03
4/25/23 07:00,3.4,0,76.2,0.36,0.7,-1.3,1.838,98.6,0.02
4/25/23 08:00,51.8,0,27.3,0.82,1.52,-0.7,1.84,98.65,0.02
4/25/23 09:00,99.7,0,44.3,0.71,1.76,1.6,1.775,98.7,0.04
4/25/23 10:00,134.6,0,36.2,0.94,2.31,5.1,1.796,98.75,0.17
4/25/23 11:00,259.9,0,15.5,1.02,2.81,7.2,1.788,98.75,0.4
4/25/23 12:00,294.7,0,33,1.31,4.44,8.7,1.834,98.73,0.58
4/25/23 13:00,153.9,0,34.6,0.83,2.71,9.1,1.793,98.7,0.66
4/25/23 14:00,197.4,0,55,0.87,2.97,10,1.682,98.65,0.75
4/25/23 15:00,159.3,0,27.4,1.02,2.88,10.8,1.598,98.61,0.84
4/25/23 16:00,268.9,0,22.5,1.16,3.3,11.6,1.535,98.56,0.91
4/25/23 17:00,75.8,0,359.7,0.89,2.61,11.9,1.493,98.52,0.94
4/25/23 18:00,59.3,0,1,0.77,2.34,12.1,1.449,98.5,0.95
4/25/23 19:00,34,0,9,0.65,1.48,12,1.425,98.48,0.93
4/25/23 20:00,5.7,0,29.8,0.42,1.1,11.4,1.409,98.47,0.86
4/25/23 21:00,0,0,151.7,0.4,0.87,10.2,1.396,98.51,0.69
4/25/23 22:00,0,0,291.7,0.47,1.31,9.4,1.379,98.54,0.59
4/25/23 23:00,0,0,358.7,0.67,1.53,8.8,1.369,98.53,0.51
4/26/23 00:00,0,0,6.4,0.46,1.15,7.9,1.399,98.5,0.44
4/26/23 01:00,0,0,313.1,0.3,0.87,6.4,1.513,98.48,0.33
4/26/23 02:00,0,0,355.4,0.54,0.89,5.2,1.685,98.47,0.28
4/26/23 03:00,0,0,252.1,0.25,0.82,4.2,1.864,98.43,0.22
4/26/23 04:00,0,0,5.8,0.19,0.44,3.1,1.931,98.4,0.18
4/26/23 05:00,0,0,356.9,0.34,0.77,2.2,1.819,98.39,0.14
4/26/23 06:00,0,0,318.3,0.32,0.69,1.5,1.814,98.39,0.11
4/26/23 07:00,2,0,345.8,0.28,0.88,1.7,1.861,98.44,0.1
4/26/23 08:00,45.7,0,32.7,0.48,1.38,2.8,1.884,98.49,0.11
4/26/23 09:00,76.5,0,85.4,0.61,1.79,6.3,1.965,98.55,0.24
4/26/23 10:00,74.9,0,23.1,0.59,2.65,8.1,2.089,98.56,0.37
4/26/23 11:00,225.5,0,48.4,0.88,2.34,10.1,2.149,98.54,0.51
4/26/23 12:00,193.7,0,25.2,1.41,2.52,11.8,2.139,98.54,0.7
4/26/23 13:00,163,0,10.5,0.92,3.03,12.6,2.08,98.51,0.79
4/26/23 14:00,152.2,0,59.6,0.75,4.54,13.2,1.975,98.49,0.84
4/26/23 15:00,91.9,0,79.4,0.62,3.35,13.1,1.87,98.48,0.82
4/26/23 16:00,154.4,0,167.2,0.7,3.55,13.2,1.809,98.46,0.81
4/26/23 17:00,80.2,0,128.4,0.68,3.09,13.4,1.767,98.45,0.85
4/26/23 18:00,28.1,0,226,0.63,2.72,13.1,1.723,98.45,0.82
4/26/23 19:00,28.7,0,249.3,0.66,2.25,12.7,1.688,98.45,0.82
4/26/23 20:00,5.6,0,6.9,0.55,2.04,12.1,1.659,98.44,0.81
4/26/23 21:00,0,0,345.8,0.5,1.15,9.5,1.629,98.47,0.54
4/26/23 22:00,0,0,326.6,0.3,1.06,7.2,1.603,98.47,0.38
4/26/23 23:00,0,0,339.2,0.58,1.15,5.6,1.582,98.49,0.29
4/27/23 00:00,0,0,22,0.48,1.54,4.8,1.593,98.5,0.24
4/27/23 01:00,0,0,35.9,0.35,1.18,4.7,1.725,98.53,0.24
4/27/23 02:00,0,0,163.7,0.28,1.05,4.1,1.989,98.53,0.21
4/27/23 03:00,0,0,29.8,0.22,0.83,3.1,2.224,98.48,0.18
4/27/23 04:00,0,0,27.6,0.3,0.69,2.3,2.305,98.43,0.16
4/27/23 05:00,0,0,342.8,0.41,0.91,1.6,2.277,98.44,0.14
4/27/23 06:00,0,0,327.4,0.22,1.06,0.9,2.243,98.5,0.12
4/27/23 07:00,3.1,0,53.3,0.32,0.68,0.4,2.261,98.53,0.1
4/27/23 08:00,55.1,0,40.2,0.46,1.32,0.9,2.301,98.53,0.1
4/27/23 09:00,128.1,0,79.3,0.64,2.18,4.7,2.294,98.57,0.23
4/27/23 10:00,132.9,0,53.3,0.96,3.23,8.4,2.29,98.56,0.46
4/27/23 11:00,233.3,0,93.4,0.88,3.13,10.6,2.401,98.54,0.64
4/27/23 12:00,258.4,0,74.8,1,4.14,12.6,2.44,98.52,0.89
4/27/23 13:00,213.5,0,43.8,0.89,2.85,13.9,2.438,98.45,1
4/27/23 14:00,169.5,0,28,0.95,3.07,15.3,2.34,98.37,1.16
4/27/23 15:00,141.3,0,35.5,0.84,3.07,16.2,2.269,98.29,1.31
4/27/23 16:00,136.1,0,72.1,0.62,2.3,16.8,2.199,98.23,1.42
4/27/23 17:00,80.8,0,100.2,0.55,1.8,17.5,1.206,98.15,1.55
4/27/23 18:00,48.3,0,141.5,0.46,1.63,17.8,1.028,98.07,1.59
4/27/23 19:00,26,0,154.8,0.39,1.92,17.9,1.004,97.98,1.62
4/27/23 20:00,7.4,0,358.8,0.41,0.98,16.6,0.995,97.95,1.36
4/27/23 21:00,0,0,351.3,0.37,1.09,13.5,0.994,97.93,0.9
4/27/23 22:00,0,0,7,0.71,1.97,12,0.976,97.93,0.68
4/27/23 23:00,0,0,53.8,0.64,1.86,12.8,0.969,97.93,0.65
4/28/23 00:00,0,0,111.4,0.57,1.44,13.5,0.959,97.91,0.62
4/28/23 01:00,0,0,126.3,0.53,1.28,13.4,0.953,97.87,0.54
4/28/23 02:00,0,0,8.8,0.55,1.21,12.6,0.936,97.86,0.43
4/28/23 03:00,0,0,35.2,0.55,1.12,11.8,0.911,97.82,0.35
4/28/23 04:00,0,0,64,0.5,1.57,11.9,0.895,97.76,0.31
4/28/23 05:00,0,0,50,0.61,1.63,12.9,0.88,97.71,0.33
4/28/23 06:00,0,0,68.4,0.61,1.73,13.2,0.855,97.66,0.3
4/28/23 07:00,0,1.209,95.2,0.46,0.96,12,0.829,97.65,0.13
4/28/23 08:00,0,2.923,137.4,0.68,2.26,11.8,0.779,97.67,0.08
4/28/23 09:00,3.5,2.787,150.2,0.86,2.87,11.7,0.815,97.65,0.05
4/28/23 10:00,23.2,1.702,126.5,0.64,2.44,11.3,0.799,97.63,0.03
4/28/23 11:00,29.2,0.323,138.4,0.79,3.22,11.4,0.814,97.57,0.03
4/28/23 12:00,51.3,0.068,136.7,0.94,3.95,11.5,0.664,97.58,0.02
4/28/23 13:00,84.1,0.034,146.9,1.01,3.32,12.1,0.512,97.51,0.02
4/28/23 14:00,56.8,0.17,123.5,0.67,2.39,12.4,0.504,97.47,0.03
4/28/23 15:00,43.5,0.289,122.9,0.66,3.53,12.4,0.499,97.45,0.02
4/28/23 16:00,72.2,0.017,117.4,0.72,2.3,12.5,0.492,97.41,0.02
4/28/23 17:00,46.1,0,103.4,0.76,4.24,12.9,0.486,97.38,0.07
4/28/23 18:00,32.9,0,83.8,0.77,1.85,12.8,0.495,97.38,0.17
