"day","sensor_id","plot","position","gm.trt","daily_sm","doy"
2023-04-26,94232156,7,"NW","ambient",0.341789005442105,116
2023-04-26,94232157,7,"W","weeded",0.389097567526316,116
2023-04-26,94232158,3,"W","weeded",0.349489170305263,116
2023-04-26,94232159,3,"NW","ambient",0.303620230473684,116
2023-04-26,94232163,5,"W","weeded",0.277680401926316,116
2023-04-26,94232164,5,"NW","ambient",0.281961668052632,116
2023-04-27,94232156,7,"NW","ambient",0.342754786770833,117
2023-04-27,94232157,7,"W","weeded",0.3873059224375,117
2023-04-27,94232158,3,"W","weeded",0.347391307104167,117
2023-04-27,94232159,3,"NW","ambient",0.302947136625,117
2023-04-27,94232163,5,"W","weeded",0.277761632875,117
2023-04-27,94232164,5,"NW","ambient",0.280654240333333,117
2023-04-28,94232156,7,"NW","ambient",0.366029008125,118
2023-04-28,94232157,7,"W","weeded",0.423336585458333,118
2023-04-28,94232158,3,"W","weeded",0.391984487833333,118
2023-04-28,94232159,3,"NW","ambient",0.352380445104167,118
2023-04-28,94232163,5,"W","weeded",0.307700619041667,118
2023-04-28,94232164,5,"NW","ambient",0.318511937604167,118
2023-04-29,94232156,7,"NW","ambient",0.372827955979167,119
2023-04-29,94232157,7,"W","weeded",0.428479366958333,119
2023-04-29,94232158,3,"W","weeded",0.4010874773125,119
2023-04-29,94232159,3,"NW","ambient",0.362526378708333,119
2023-04-29,94232163,5,"W","weeded",0.31128969575,119
2023-04-29,94232164,5,"NW","ambient",0.338800209833333,119
2023-04-30,94232156,7,"NW","ambient",0.3716489323125,120
2023-04-30,94232157,7,"W","weeded",0.426750262020833,120
2023-04-30,94232158,3,"W","weeded",0.399350821354167,120
2023-04-30,94232159,3,"NW","ambient",0.360728299958333,120
2023-04-30,94232163,5,"W","weeded",0.309555329104167,120
2023-04-30,94232164,5,"NW","ambient",0.339409031395833,120
2023-05-01,94232156,7,"NW","ambient",0.372302003875,121
2023-05-01,94232157,7,"W","weeded",0.427994305270833,121
2023-05-01,94232158,3,"W","weeded",0.403715556458333,121
2023-05-01,94232159,3,"NW","ambient",0.36471784425,121
2023-05-01,94232163,5,"W","weeded",0.31081943275,121
2023-05-01,94232164,5,"NW","ambient",0.343653877041667,121
2023-05-02,94232156,7,"NW","ambient",0.3780909675625,122
2023-05-02,94232157,7,"W","weeded",0.441955508583333,122
