date,solar.rad.wm2,precip.mm,wind.direction.degrees,wind.spd.ms,gust.speed.ms,air.temp.c,vapor.pressure.kpa,atm.pressure.kpa,min.airtemp.c,max.airtemp.c,rh.degc,max.precip.rate.mmhr,vpd.kpa
2023-04-24 00:00:00,0,0,35.7,0.46,0.8,4.9,0.61,98.37,4.7,5.1,4.8,0,0.26
2023-04-24 01:00:00,0,0,38.3,0.46,0.71,4.8,0.592,98.34,4.5,5.1,4.8,0,0.27
2023-04-24 02:00:00,0,0,77.5,0.28,0.6,4.2,0.608,98.29,3.8,4.6,4.4,0,0.22
2023-04-24 03:00:00,0,0,0.2,0.25,0.57,3.3,0.605,98.27,2.7,3.8,3.6,0,0.17
2023-04-24 04:00:00,0,0,39.8,0.32,0.79,2.4,0.599,98.26,2.2,2.8,2.7,0,0.13
2023-04-24 05:00:00,0,0,332.2,0.54,0.92,2.2,0.604,98.27,2.1,2.4,2.3,0,0.11
2023-04-24 06:00:00,0,0,28.8,0.6,0.98,2.2,0.615,98.27,2.1,2.3,2.2,0,0.1
2023-04-24 07:00:00,1.7,0,20.5,0.45,0.84,2.2,0.627,98.29,2.1,2.4,2.2,0,0.09
2023-04-24 08:00:00,42.9,0,8.5,0.39,0.86,2.7,0.664,98.33,2.2,4.1,2.8,0,0.08
2023-04-24 09:00:00,94.8,0,0.4,0.73,1.95,5.2,0.688,98.35,3.9,6.6,5.3,0,0.2
2023-04-24 10:00:00,146.2,0,2,0.66,2.06,6.3,0.663,98.37,5.1,7,7.6,0,0.29
2023-04-24 11:00:00,139.2,0,56.5,0.69,2.63,6.2,0.614,98.4,5.4,6.9,7.6,0,0.33
2023-04-24 12:00:00,85.1,0.17,10.2,0.66,2.22,5.4,0.625,98.46,3.8,7,7.1,1.2,0.27
2023-04-24 13:00:00,159.6,0.255,18.5,0.81,2.73,5.4,0.684,98.44,4.1,7.9,5.9,1.2,0.21
2023-04-24 14:00:00,105.1,0.017,21.3,0.56,2.19,7.5,0.59,98.44,7,8.4,8.3,1.2,0.44
2023-04-24 15:00:00,133.5,0,341.1,0.75,2.52,6.4,0.617,98.47,5,8.2,7.6,0,0.34
2023-04-24 16:00:00,181.4,0,357.5,0.88,2.73,7.6,0.598,98.44,6.7,8.6,9.1,0,0.45
2023-04-24 17:00:00,70.7,0,338,0.86,2.27,7.8,0.596,98.46,6,8.7,8.8,0,0.46
2023-04-24 18:00:00,45.2,0,29.3,0.66,1.51,5.8,0.659,98.51,5,6.5,6.6,0,0.26
2023-04-24 19:00:00,24.9,0,284.4,0.46,1.97,6.3,0.617,98.54,5.5,6.7,6.5,0,0.34
2023-04-24 20:00:00,8,0,26.4,0.45,1.94,5.2,0.628,98.57,4.6,5.8,5.6,0,0.26
2023-04-24 21:00:00,0,0,127.4,0.37,0.94,4.1,0.628,98.6,3.3,4.8,4.4,0,0.19
2023-04-24 22:00:00,0,0,79.2,0.41,0.77,2.9,0.628,98.61,2.5,3.4,3.2,0,0.12
2023-04-24 23:00:00,0,0,16.9,0.47,0.92,2.4,0.631,98.61,2.2,2.6,2.5,0,0.09
2023-04-25 00:00:00,0,0,21.1,0.36,1.13,1.9,0.627,98.58,1.7,2.3,2,0,0.07
2023-04-25 01:00:00,0,0,359.9,0.39,1.03,1.8,0.633,98.58,1.5,2.1,1.9,0,0.06
2023-04-25 02:00:00,0,0,117.7,0.31,0.67,1,0.605,98.57,0.5,1.5,1.2,0,0.05
2023-04-25 03:00:00,0,0,289.8,0.4,1.15,0.1,0.574,98.55,-0.4,0.5,0.3,0,0.04
2023-04-25 04:00:00,0,0,345.5,0.74,1.09,-0.6,0.553,98.57,-0.8,-0.2,-0.4,0,0.03
2023-04-25 05:00:00,0,0,5.4,0.75,1.14,-0.9,0.542,98.58,-1,-0.7,-0.9,0,0.03
2023-04-25 06:00:00,0,0,39.1,0.51,1.04,-1.1,0.537,98.6,-1.2,-0.9,-1.1,0,0.03
2023-04-25 07:00:00,3.4,0,76.2,0.36,0.7,-1.3,0.532,98.6,-1.4,-1.2,-1.3,0,0.02
2023-04-25 08:00:00,51.8,0,27.3,0.82,1.52,-0.7,0.557,98.65,-1.4,0.4,-0.7,0,0.02
2023-04-25 09:00:00,99.7,0,44.3,0.71,1.76,1.6,0.652,98.7,0.1,3.9,1.6,0,0.04
2023-04-25 10:00:00,134.6,0,36.2,0.94,2.31,5.1,0.71,98.75,3.7,6.8,5.2,0,0.17
2023-04-25 11:00:00,259.9,0,15.5,1.02,2.81,7.2,0.617,98.75,6,8.8,8.4,0,0.4
2023-04-25 12:00:00,294.7,0,33,1.31,4.44,8.7,0.543,98.73,7.4,9.9,11.3,0,0.58
2023-04-25 13:00:00,153.9,0,34.6,0.83,2.71,9.1,0.497,98.7,8.3,10.4,10.6,0,0.66
2023-04-25 14:00:00,197.4,0,55,0.87,2.97,10,0.473,98.65,8.6,11.3,11.5,0,0.75
2023-04-25 15:00:00,159.3,0,27.4,1.02,2.88,10.8,0.461,98.61,9.7,12.1,12,0,0.84
2023-04-25 16:00:00,268.9,0,22.5,1.16,3.3,11.6,0.459,98.56,10.6,12.6,13.6,0,0.91
2023-04-25 17:00:00,75.8,0,359.7,0.89,2.61,11.9,0.453,98.52,11.3,12.4,12.6,0,0.94
2023-04-25 18:00:00,59.3,0,1,0.77,2.34,12.1,0.46,98.5,11.8,12.4,12.4,0,0.95
2023-04-25 19:00:00,34,0,9,0.65,1.48,12,0.47,98.48,11.7,12.2,12.2,0,0.93
2023-04-25 20:00:00,5.7,0,29.8,0.42,1.1,11.4,0.485,98.47,10.8,11.9,11.5,0,0.86
2023-04-25 21:00:00,0,0,151.7,0.4,0.87,10.2,0.55,98.51,9.6,10.9,10.3,0,0.69
2023-04-25 22:00:00,0,0,291.7,0.47,1.31,9.4,0.585,98.54,8.8,9.9,9.4,0,0.59
2023-04-25 23:00:00,0,0,358.7,0.67,1.53,8.8,0.62,98.53,8.5,9.3,8.8,0,0.51
2023-04-26 00:00:00,0,0,6.4,0.46,1.15,7.9,0.622,98.5,6.8,8.7,8.1,0,0.44
2023-04-26 01:00:00,0,0,313.1,0.3,0.87,6.4,0.625,98.48,5.8,6.9,6.7,0,0.33
2023-04-26 02:00:00,0,0,355.4,0.54,0.89,5.2,0.606,98.47,4.6,5.8,5.5,0,0.28
2023-04-26 03:00:00,0,0,252.1,0.25,0.82,4.2,0.598,98.43,3.6,4.7,4.4,0,0.22
2023-04-26 04:00:00,0,0,5.8,0.19,0.44,3.1,0.587,98.4,2.6,3.6,3.3,0,0.18
2023-04-26 05:00:00,0,0,356.9,0.34,0.77,2.2,0.58,98.39,1.8,2.6,2.4,0,0.14
2023-04-26 06:00:00,0,0,318.3,0.32,0.69,1.5,0.573,98.39,1.3,1.8,1.6,0,0.11
2023-04-26 07:00:00,2,0,345.8,0.28,0.88,1.7,0.593,98.44,1.4,1.9,1.5,0,0.1
2023-04-26 08:00:00,45.7,0,32.7,0.48,1.38,2.8,0.635,98.49,1.8,5.8,2.4,0,0.11
2023-04-26 09:00:00,76.5,0,85.4,0.61,1.79,6.3,0.718,98.55,4.5,8.4,5.6,0,0.24
2023-04-26 10:00:00,74.9,0,23.1,0.59,2.65,8.1,0.714,98.56,7.7,9.3,8.2,0,0.37
2023-04-26 11:00:00,225.5,0,48.4,0.88,2.34,10.1,0.723,98.54,8.7,12.1,10.9,0,0.51
2023-04-26 12:00:00,193.7,0,25.2,1.41,2.52,11.8,0.686,98.54,11,12.7,13.4,0,0.7
2023-04-26 13:00:00,163,0,10.5,0.92,3.03,12.6,0.673,98.51,11.8,13.6,13.9,0,0.79
2023-04-26 14:00:00,152.2,0,59.6,0.75,4.54,13.2,0.677,98.49,12.2,14.3,14.4,0,0.84
2023-04-26 15:00:00,91.9,0,79.4,0.62,3.35,13.1,0.689,98.48,12.6,13.6,14.2,0,0.82
2023-04-26 16:00:00,154.4,0,167.2,0.7,3.55,13.2,0.704,98.46,12.5,13.9,14.3,0,0.81
2023-04-26 17:00:00,80.2,0,128.4,0.68,3.09,13.4,0.691,98.45,12.9,14.1,13.9,0,0.85
2023-04-26 18:00:00,28.1,0,226,0.63,2.72,13.1,0.687,98.45,12.4,13.7,13.5,0,0.82
